1;V ;3;0
2;V-A;1b;200
3;VA-V;5a;150
4;VA-VA;6;100
5;V-V;4;100
6;V-VA;5b;100
7;V;3;0
8;A-V;1a;100
9;VA-A;2b;200
10;V-V;4;150
11;VA-VA;6;400
12;A-VA;2a;100
13;V;3;0
14;VA-VA;6;150
15;VA-V;5a;400
16;V-V;4;200
17;V-A;1b;150
18;V-VA;5b;150
19;V;3;0
20;VA-VA;6;200
21;A-VA;2a;150
22;A-V;1a;150
23;V-V;4;400
24;VA-A;2b;150
25;V;3;0
26;V-V;4;100
27;VA-V;5a;100
28;V-A;1b;100
29;VA-VA;6;100
30;VA-A;2b;100
31;V;3;0
32;V-V;4;150
33;V-VA;5b;200
34;VA-VA;6;400
35;A-V;1a;200
36;A-VA;2a;200
37;V-A;1b;400
38;V;3;0
39;VA-V;5a;200
40;V-V;4;400
41;VA-VA;6;200
42;VA-A;2b;400
43;A-V;1a;400
44;V;3;0
45;A-VA;2a;400
46;VA-VA;6;150
47;V-V;4;200
48;V-VA;5b;400
49;V-A;1b;200
50;VA-VA;6;200
51;VA-V;5a;150
52;V;3;0
53;V-V;4;100
54;A-VA;2a;100
55;A-V;1a;100
56;VA-VA;6;100
57;VA-A;2b;200
58;V-V;4;200
59;V;3;0
60;V-VA;5b;100
61;V-A;1b;150
62;V-V;4;150
63;VA-V;5a;400
64;V;3;0
65;VA-VA;6;150
66;A-VA;2a;150
67;A-V;1a;150
68;V-V;4;400
69;V-VA;5b;150
70;VA-VA;6;400
71;V;3;0
72;VA-A;2b;150
73;VA-VA;6;200
74;V;3;0
75;V-VA;5b;400
76;V-A;1b;400
77;V-V;4;100
78;VA-V;5a;200
79;VA-VA;6;100
80;V;3;0
81;VA-A;2b;400
82;V-V;4;200
83;A-V;1a;400
84;A-VA;2a;400
85;VA-VA;6;400
86;V-A;1b;100
87;V-VA;5b;200
88;V;3;0
89;V-V;4;400
90;VA-A;2b;100
91;VA-VA;6;150
92;A-V;1a;200
93;VA-V;5a;100
94;V-V;4;150
95;V;3;0
96;A-VA;2a;200
97;VA-VA;6;200
98;V-V;4;100
99;V-VA;5b;100
100;V;3;0
101;V-A;1b;150
102;VA-V;5a;150
103;VA-VA;6;400
104;V-V;4;400
105;A-VA;2a;100
106;A-V;1a;100
107;V;3;0
108;VA-A;2b;150
109;V-V;4;150
110;V;3;0
111;V-VA;5b;200
112;V-A;1b;100
113;VA-VA;6;150
114;VA-A;2b;100
115;V-V;4;200
116;V;3;0
117;A-VA;2a;200
118;VA-VA;6;100
119;A-V;1a;200
120;VA-V;5a;200
121;V-V;4;100
122;V-A;1b;200
123;V-VA;5b;150
124;V;3;0
125;VA-VA;6;200
126;A-VA;2a;150
127;V-V;4;400
128;A-V;1a;150
129;VA-A;2b;200
130;VA-VA;6;400
131;V;3;0
132;VA-V;5a;100
133;V-V;4;200
134;VA-VA;6;100
135;V-VA;5b;400
136;V;3;0
137;V-A;1b;400
138;A-VA;2a;400
139;V-V;4;150
140;VA-VA;6;150
141;VA-V;5a;400
142;A-V;1a;400
143;V;3;0
144;VA-A;2b;400
145;V;3;0
146;V-A;1b;150
147;VA-A;2b;150
148;VA-VA;6;200
149;V-V;4;200
150;VA-V;5a;150
151;V;3;0
152;A-V;1a;100
153;V-VA;5b;100
154;V-V;4;100
155;VA-VA;6;150
156;A-VA;2a;100
157;V;3;0
158;VA-VA;6;100
159;VA-A;2b;100
160;V-V;4;150
161;V-A;1b;100
162;VA-V;5a;400
163;V;3;0
164;VA-VA;6;400
165;A-VA;2a;200
166;A-V;1a;200
167;V-V;4;400
168;V-VA;5b;200
169;V;3;0
170;V-V;4;200
171;VA-A;2b;400
172;V-A;1b;400
173;VA-VA;6;200
174;V-VA;5b;400
175;V;3;0
176;V-V;4;100
177;A-VA;2a;400
178;VA-VA;6;150
179;A-V;1a;400
180;VA-V;5a;100
181;V-A;1b;200
182;V;3;0
183;VA-A;2b;200
184;V-V;4;400
185;VA-VA;6;400
186;V-VA;5b;150
187;A-V;1a;150
188;V;3;0
189;VA-V;5a;200
190;VA-VA;6;100
191;V-V;4;150
192;A-VA;2a;150
193;V-A;1b;150
194;VA-VA;6;150
195;VA-A;2b;150
196;V;3;0
197;V-V;4;200
198;A-VA;2a;100
199;A-V;1a;100
200;VA-VA;6;100
201;VA-V;5a;400
202;V-V;4;400
203;V;3;0
204;V-VA;5b;100
205;V-A;1b;400
206;V-V;4;150
207;VA-A;2b;400
208;V;3;0
209;VA-VA;6;200
210;A-VA;2a;400
211;A-V;1a;400
212;V-V;4;100
213;V-VA;5b;400
214;VA-VA;6;400
215;V;3;0
216;VA-V;5a;100
217;VA-VA;6;150
218;V;3;0
219;A-VA;2a;150
220;V-A;1b;100
221;V-V;4;200
222;VA-V;5a;150
223;VA-VA;6;100
224;V;3;0
